Date,Price
1/1/2014,29542
1/2/2014,29975
1/3/2014,29727
1/4/2014,29279
1/5/2014,29119
1/6/2014,28959
1/7/2014,28934
1/8/2014,28997
1/9/2014,29169
1/10/2014,29312
1/11/2014,29198
1/12/2014,29150
1/13/2014,29168
1/14/2014,29385
1/15/2014,29414
1/16/2014,29362
1/17/2014,29269
1/18/2014,29394
1/19/2014,29574
1/20/2014,29905
1/21/2014,29628
1/22/2014,29835
1/23/2014,29499
1/24/2014,29482
1/25/2014,29789
1/26/2014,29534
1/27/2014,29719
1/28/2014,29231
1/29/2014,29310
1/30/2014,29471
1/31/2014,29670
2/1/2014,29698
2/2/2014,29726
2/3/2014,29932
2/4/2014,30664
2/5/2014,30766
2/6/2014,30712
2/7/2014,30608
2/8/2014,30677
2/9/2014,30927
2/10/2014,30972
2/11/2014,30810
2/12/2014,30839
2/13/2014,30634
2/14/2014,32051
2/15/2014,31126
2/16/2014,32351
2/17/2014,30416
2/18/2014,30307
2/19/2014,30327
2/20/2014,30421
2/21/2014,30627
2/22/2014,30697
2/23/2014,30719
2/24/2014,30557
2/25/2014,30389
2/26/2014,30169
2/27/2014,29924
2/28/2014,29850
3/1/2014,29182
3/2/2014,28971
3/3/2014,28595
3/4/2014,28521
3/5/2014,28434
3/6/2014,28470
3/7/2014,28116
3/8/2014,28404
3/9/2014,28460
3/10/2014,28519
3/11/2014,28549
3/12/2014,28574
3/13/2014,28754
3/14/2014,28710
3/15/2014,29094
3/16/2014,29085
3/17/2014,29350
3/18/2014,29342
3/19/2014,29290
3/20/2014,29293
3/21/2014,29339
3/22/2014,29548
3/23/2014,29423
3/24/2014,29752
3/25/2014,29741
3/26/2014,29695
3/27/2014,29824
3/28/2014,29713
3/29/2014,31014
3/30/2014,30380
3/31/2014,30182
4/1/2014,29967
4/2/2014,29109
4/3/2014,28747
4/4/2014,28734
4/5/2014,28741
4/6/2014,28860
4/7/2014,28673
4/8/2014,28911
4/9/2014,28624
4/10/2014,28322
4/11/2014,28336
4/12/2014,28424
4/13/2014,27501
4/14/2014,27386
4/15/2014,27528
4/16/2014,27586
4/17/2014,27087
4/18/2014,26987
4/19/2014,26984
4/20/2014,27151
4/21/2014,26626
4/22/2014,26732
4/23/2014,26708
4/24/2014,26771
4/25/2014,26400
4/26/2014,26545
4/27/2014,26712
4/28/2014,26736
4/29/2014,27014
4/30/2014,27235
5/1/2014,27395
5/2/2014,27418
5/3/2014,27353
5/4/2014,28160
5/5/2014,28154
5/6/2014,28111
5/7/2014,28167
5/8/2014,28221
5/9/2014,28126
5/10/2014,28063
5/11/2014,28076
5/12/2014,27975
5/13/2014,27788
5/14/2014,27802
5/15/2014,27913
5/16/2014,27564
5/17/2014,27594
5/18/2014,27667
5/19/2014,28565
5/20/2014,28441
5/21/2014,28413
5/22/2014,28413
5/23/2014,27860
5/24/2014,27752
5/25/2014,27767
5/26/2014,28237
5/27/2014,28028
5/28/2014,28030
5/29/2014,28120
5/30/2014,27939
5/31/2014,27915
6/1/2014,27651
6/2/2014,27973
6/3/2014,27960
6/4/2014,27909
6/5/2014,27855
6/6/2014,27936
6/7/2014,27788
6/8/2014,28037
6/9/2014,27952
6/10/2014,28392
6/11/2014,28559
6/12/2014,28695
6/13/2014,28515
6/14/2014,28510
6/15/2014,28554
6/16/2014,28641
6/17/2014,28567
6/18/2014,28489
6/19/2014,28167
6/20/2014,28124
6/21/2014,28079
6/22/2014,27599
6/23/2014,27634
6/24/2014,27632
6/25/2014,27720
6/26/2014,27599
6/27/2014,27884
6/28/2014,27794
6/29/2014,27679
6/30/2014,27340
7/1/2014,27355
7/2/2014,27282
7/3/2014,27225
7/4/2014,27207
7/5/2014,27272
7/6/2014,27194
7/7/2014,26996
7/8/2014,26909
7/9/2014,26900
7/10/2014,27006
7/11/2014,26954
7/12/2014,26907
7/13/2014,26659
7/14/2014,26497
7/15/2014,26605
7/16/2014,26682
7/17/2014,26552
7/18/2014,26919
7/19/2014,26694
7/20/2014,26693
7/21/2014,26819
7/22/2014,26805
7/23/2014,26790
7/24/2014,26439
7/25/2014,26424
7/26/2014,26637
7/27/2014,26673
7/28/2014,26633
7/29/2014,26847
7/30/2014,26855
7/31/2014,26855
8/1/2014,27128
8/2/2014,27328
8/3/2014,27151
8/4/2014,27302
8/5/2014,27394
8/6/2014,27333
8/7/2014,26940
8/8/2014,26963
8/9/2014,27008
8/10/2014,26909
8/11/2014,26864
8/12/2014,26376
8/13/2014,25924
8/14/2014,25868
8/15/2014,25810
8/16/2014,25348
8/17/2014,25467
8/18/2014,25926
8/19/2014,25719
8/20/2014,25793
8/21/2014,25794
8/22/2014,25827
8/23/2014,26458
8/24/2014,26411
8/25/2014,26319
8/26/2014,26587
8/27/2014,26710
8/28/2014,26459
8/29/2014,26390
8/30/2014,26473
8/31/2014,26338
9/1/2014,26397
9/2/2014,26237
9/3/2014,25853
9/4/2014,26546
9/5/2014,26224
9/6/2014,26496
9/7/2014,26488
9/8/2014,26279
9/9/2014,26228
9/10/2014,27023
9/11/2014,27054
9/12/2014,27142
9/13/2014,27088
9/14/2014,27173
9/15/2014,27044
9/16/2014,26802
9/17/2014,26659
9/18/2014,26859
9/19/2014,26458
9/20/2014,26468
9/21/2014,26433
9/22/2014,26894
9/23/2014,26598
9/24/2014,26908
9/25/2014,26594
9/26/2014,26586
9/27/2014,26700
9/28/2014,26847
9/29/2014,27385
9/30/2014,27159
10/1/2014,26808
10/2/2014,26806
10/3/2014,27032
10/4/2014,27071
10/5/2014,27210
10/6/2014,27493
10/7/2014,27673
10/8/2014,27627
10/9/2014,27718
10/10/2014,28098
10/11/2014,27992
10/12/2014,28055
10/13/2014,27884
10/14/2014,27887
10/15/2014,27934
10/16/2014,27795
10/17/2014,27470
10/18/2014,27911
10/19/2014,28071
10/20/2014,27687
10/21/2014,27814
10/22/2014,27683
10/23/2014,26968
10/24/2014,27119
10/25/2014,27016
10/26/2014,26817
10/27/2014,26635
10/28/2014,26694
10/29/2014,26742
10/30/2014,26241
10/31/2014,26181
11/1/2014,26294
11/2/2014,26317
11/3/2014,26319
11/4/2014,26178
11/5/2014,26077
11/6/2014,26142
11/7/2014,26239
11/8/2014,26206
11/9/2014,26480
11/10/2014,26541
11/11/2014,26453
11/12/2014,26539
11/13/2014,26473
11/14/2014,26058
11/15/2014,26062
